city,href,store_count,header_text
Wuxi,https://www.lacoste.com/us/stores/china/wuxi?country=china,3.0,3 STORES
Xiamen,https://www.lacoste.com/us/stores/china/xiamen?country=china,5.0,5 STORES
Xinxiang,https://www.lacoste.com/us/stores/china/xinxiang?country=china,1.0,LACOSTE XINXIANG NEW MART DEPARTMENT STORE
XINZHENG,https://www.lacoste.com/us/stores/china/xinzheng?country=china,1.0,LACOSTE ZHENGZHOU JINYI MALL
Xuzhou,https://www.lacoste.com/us/stores/china/xuzhou?country=china,3.0,3 STORES
Yancheng,https://www.lacoste.com/us/stores/china/yancheng?country=china,2.0,2 STORES
Yangzhou,https://www.lacoste.com/us/stores/china/yangzhou?country=china,1.0,LACOSTE YANGZHOU GOLDEN EAGLE INTERNATIONAL SHOPPING CENTRE
Yanji,https://www.lacoste.com/us/stores/china/yanji?country=china,1.0,LACOSTE YANJI DEPARTMENT STORE
Yichang,https://www.lacoste.com/us/stores/china/yichang?country=china,1.0,LACOSTE YICHANG GUOMAO BUILDING DEPARTMENT STORE
Yiwu,https://www.lacoste.com/us/stores/china/yiwu?country=china,2.0,2 STORES
Yixing,https://www.lacoste.com/us/stores/china/yixing?country=china,1.0,LACOSTE YIXING XINSUNAN DEPARTMENT STORE
Yongkang,https://www.lacoste.com/us/stores/china/yongkang?country=china,1.0,LACOSTE YONGKANG HUALIAN DEPARTMENT STORE
Zhangjiagang,https://www.lacoste.com/us/stores/china/zhangjiagang?country=china,1.0,LACOSTE ZHANGJIAGANG INTERNATIONAL SHOPPING CENTER DEPARTMENT STORE
Zhangzhou,https://www.lacoste.com/us/stores/china/zhangzhou?country=china,1.0,LACOSTE ZHANGZHOU MID NANCHANG ROAD BOUTIQUE
Zhanjiang,https://www.lacoste.com/us/stores/china/zhanjiang?country=china,4.0,4 STORES
Zhengzhou,https://www.lacoste.com/us/stores/china/zhengzhou?country=china,6.0,6 STORES
Zhenjiang,https://www.lacoste.com/us/stores/china/zhenjiang?country=china,3.0,3 STORES
Zhuhai,https://www.lacoste.com/us/stores/china/zhuhai?country=china,2.0,2 STORES
Zhuji,https://www.lacoste.com/us/stores/china/zhuji?country=china,2.0,2 STORES
Zibo,https://www.lacoste.com/us/stores/china/zibo?country=china,1.0,LACOSTE ZIBO WANXIANGHUI FTW MONO SHOP
上海市,https://www.lacoste.com/us/stores/china/上海市?country=china,43.0,43 STORES	Filter by
保定市,https://www.lacoste.com/us/stores/china/保定市?country=china,1.0,LACOSTE HEBEI BAODING SHOPPING MALL DEPARTMENT STORE
北京市,https://www.lacoste.com/us/stores/china/北京市?country=china,25.0,25 STORES	Filter by
