企业,社会维度得分,净利润（亿元）,缴纳税费（亿元）,净利润纳税率（%）,营业收入（亿元）,女性员工比例（%）,研究生及以上学历占比（%）,员工流失率（%）,员工满意度,因公死亡人数,员工培训人次,安全培训人次,科技投入（亿元）,研发总额占营业收入比例,新增专利数,省部级以上科技奖,国家级优质工程奖,捐赠总额（万元）,员工志愿者人数,志愿活动时长（次）,扶贫投入资金（万元）,农民工雇佣人数（万）,毕业生吸纳人数,员工保障（万元）
中国中铁2016,69.81,125.0900 ,49.6960 ,39.7290 ,6433.5700 ,16.0000 ,2.3790 ,3.1200 ,100.0000 ,0.0000 ,300000.0000 ,282326.0000 ,104.1930 ,1.6200 ,1008.0000 ,320.0000 ,32.0000 ,521.9000 ,21000.0000 ,1800.0000 ,,180.0000 ,9702.0000 ,49898.0000 
中国中铁2017,77.86,160.7000 ,53.4000 ,33.2300 ,6933.7000 ,16.0000 ,3.0160 ,3.1200 ,100.0000 ,0.0000 ,300000.0000 ,,120.2010 ,1.7340 ,1206.0000 ,298.0000 ,8.0000 ,5296.1000 ,16414.0000 ,4283.0000 ,6500.0000 ,180.0000 ,11014.0000 ,51228.0000 
中国中铁2018,93.94,170.2000 ,52.7480 ,30.9920 ,7404.4000 ,16.0000 ,3.1830 ,3.1200 ,100.0000 ,0.0000 ,300000.0000 ,,134.6620 ,1.8190 ,757.0000 ,328.0000 ,76.0000 ,7017.1000 ,15800.0000 ,4200.0000 ,4254.9000 ,180.0000 ,11014.0000 ,110968.0000 
中国中铁2019,91.26,236.8000 ,59.5380 ,25.1430 ,8508.8000 ,16.0000 ,3.7020 ,3.1200 ,100.0000 ,0.0000 ,300000.0000 ,1924000.0000 ,165.2140 ,1.9420 ,2065.0000 ,328.0000 ,67.0000 ,8588.8000 ,16000.0000 ,4300.0000 ,12366.0000 ,180.0000 ,13502.0000 ,23911.0000 
中国中铁2020,87.35,251.8800 ,61.3360 ,24.3510 ,9747.4900 ,16.0000 ,4.1450 ,3.1200 ,100.0000 ,0.0000 ,500000.0000 ,5900.0000 ,218.7420 ,2.2440 ,4933.0000 ,345.0000 ,66.0000 ,21687.5000 ,32000.0000 ,4800.0000 ,16950.3500 ,180.0000 ,14109.0000 ,29117.0000 
中国中铁2021,73.06,276.1800 ,71.1670 ,25.7680 ,10732.7200 ,16.0000 ,3.1000 ,3.0000 ,100.0000 ,14.0000 ,490000.0000 ,365000.0000 ,247.9820 ,2.3110 ,7170.0000 ,436.0000 ,71.0000 ,7558.3000 ,30000.0000 ,4000.0000 ,6490.0000 ,180.0000 ,18225.0000 ,20161.0000 
中国中铁2022,75.63,132.7600 ,76.1140 ,57.3320 ,11543.5800 ,16.4000 ,4.9000 ,3.2000 ,100.0000 ,0.0000 ,810000.0000 ,342000.0000 ,278.1150 ,2.4090 ,9256.0000 ,525.0000 ,73.0000 ,8998.0000 ,30000.0000 ,3000.0000 ,8643.0000 ,180.0000 ,21461.0000 ,27789.0000 
中国中铁2023,71.36,334.8300 ,84.3350 ,25.1870 ,12634.8000 ,16.4000 ,5.3000 ,3.3000 ,100.0000 ,0.0000 ,,353000.0000 ,300.4430 ,2.3780 ,8324.0000 ,480.0000 ,111.0000 ,9458.2300 ,28000.0000 ,3000.0000 ,8440.0000 ,180.0000 ,19000.0000 ,29974.0000 
中国电建2011,70.28,36.1910 ,10.4500 ,28.8750 ,1134.7090 ,20.0000 ,0.8300 ,3.0000 ,100.0000 ,0.0000 ,55000.0000 ,110000.0000 ,6.0000 ,0.5288 ,150.0000 ,100.0000 ,17.0000 ,1279.0000 ,15000.0000 ,2000.0000 ,300.0000 ,44.9000 ,6500.0000 ,2378.1200 
中国电建2012,71.15,40.9400 ,11.5500 ,28.2120 ,1270.3660 ,20.0000 ,1.0030 ,2.9000 ,100.0000 ,0.0000 ,57000.0000 ,127275.0000 ,6.6700 ,0.5252 ,163.0000 ,105.0000 ,5.0000 ,1272.4800 ,15000.0000 ,,170.5000 ,44.9000 ,6806.0000 ,9839.0000 
中国电建2013,66.78,45.5380 ,11.7150 ,25.7250 ,1448.3700 ,20.0000 ,1.3030 ,3.0000 ,100.0000 ,0.0000 ,60000.0000 ,124164.0000 ,11.6300 ,0.8028 ,194.0000 ,87.0000 ,3.0000 ,1390.3000 ,15000.0000 ,,,44.9000 ,,320.4000 
中国电建2014,66.28,47.8630 ,18.4100 ,38.4640 ,1670.9100 ,20.7600 ,1.5290 ,2.8000 ,100.0000 ,0.0000 ,117000.0000 ,120451.0000 ,39.8400 ,2.3843 ,756.0000 ,101.0000 ,7.0000 ,1247.6200 ,18000.0000 ,1930.0000 ,,44.9000 ,,3500.0000 
中国电建2015,34.72,77.8640 ,19.8300 ,25.4680 ,2109.2130 ,19.4400 ,4.7230 ,3.0000 ,100.0000 ,0.0000 ,9000.0000 ,134800.0000 ,71.1200 ,3.3719 ,1195.0000 ,147.0000 ,12.0000 ,1056.8300 ,18000.0000 ,,360.0000 ,44.9000 ,9349.0000 ,7230.0000 
中国电建2016,73.19,97.7510 ,21.8900 ,22.3930 ,2386.9590 ,20.7100 ,5.3420 ,2.6000 ,100.0000 ,0.0000 ,115000.0000 ,134700.0000 ,62.2400 ,2.6076 ,1370.0000 ,183.0000 ,,880.3900 ,18000.0000 ,2190.0000 ,1838.8100 ,44.9000 ,,
中国电建2017,81.42,109.1100 ,28.5540 ,26.1700 ,2668.2000 ,20.9000 ,5.2430 ,3.0000 ,100.0000 ,0.0000 ,120000.0000 ,134000.0000 ,75.9600 ,2.8468 ,1445.0000 ,206.0000 ,,2815.6700 ,18000.0000 ,,2645.8300 ,44.9000 ,,
中国电建2018,89.13,127.5000 ,28.2640 ,22.1680 ,2946.7800 ,21.3700 ,6.8400 ,2.7800 ,100.0000 ,0.0000 ,120000.0000 ,131000.0000 ,92.4900 ,3.1386 ,2061.0000 ,216.0000 ,31.0000 ,2157.7000 ,20000.0000 ,2300.0000 ,8618.1500 ,44.9000 ,8528.0000 ,2200.0000 
中国电建2019,85.22,136.8600 ,30.8490 ,22.5400 ,3484.7800 ,21.1200 ,7.9630 ,3.0000 ,100.0000 ,0.0000 ,125000.0000 ,132600.0000 ,108.2800 ,3.1072 ,1697.0000 ,284.0000 ,12.0000 ,2461.9600 ,21000.0000 ,2300.0000 ,9099.0000 ,44.9000 ,9465.0000 ,2000.0000 
中国电建2020,85.91,162.0700 ,34.7090 ,21.4160 ,4019.5500 ,21.4700 ,18.4380 ,2.8900 ,100.0000 ,0.0000 ,125000.0000 ,131800.0000 ,152.7600 ,3.8004 ,1697.0000 ,346.0000 ,16.0000 ,5793.2200 ,22000.0000 ,2540.0000 ,7358.0600 ,44.9000 ,,
中国电建2021,70.79,134.5800 ,32.9090 ,24.4530 ,4489.8000 ,21.4400 ,9.2520 ,3.0400 ,100.0000 ,0.0000 ,127000.0000 ,132000.0000 ,165.3900 ,3.6837 ,4275.0000 ,299.0000 ,34.0000 ,1839.1500 ,24560.0000 ,2540.0000 ,43392.0000 ,44.9000 ,9584.0000 ,
中国电建2022,73.21,156.8400 ,35.6280 ,22.7160 ,5726.1300 ,20.8400 ,10.4180 ,2.2800 ,100.0000 ,0.0000 ,134000.0000 ,164100.0000 ,202.6700 ,3.5394 ,7454.0000 ,434.0000 ,30.0000 ,3049.5600 ,26281.0000 ,2660.0000 ,5276.1600 ,44.9000 ,11797.0000 ,1233.9000 
中国电建2023,75.06,171.8500 ,37.3050 ,21.7080 ,6094.0800 ,21.0000 ,11.5990 ,2.3800 ,100.0000 ,0.0000 ,136000.0000 ,165200.0000 ,232.3000 ,3.8119 ,7092.0000 ,412.0000 ,31.0000 ,1671.4100 ,28926.0000 ,3383.0000 ,38603.5700 ,44.9000 ,13924.0000 ,2928.0000 
